set,product_id,card,url,Ungraded,Grade 9,PSA 10
pokemon-promo,2989143,Flareon VMAX #SWSH180,https://www.pricecharting.com/game/pokemon-promo/flareon-vmax-swsh180,53.5,69.0,695.0
pokemon-promo,844705,Ditto #XY40,https://www.pricecharting.com/game/pokemon-promo/ditto-xy40,69.99,332.0,689.81
pokemon-promo,844973,Shining Ho-Oh #SM70,https://www.pricecharting.com/game/pokemon-promo/shining-ho-oh-sm70,28.5,87.66,677.5
pokemon-promo,5862199,Mewtwo #52,https://www.pricecharting.com/game/pokemon-promo/mewtwo-52,48.87,86.5,669.99
pokemon-promo,9991519,Pikachu [KFC] #16/S-P,https://www.pricecharting.com/game/pokemon-promo/pikachu-kfc-16s-p,76.0,140.18,661.5
pokemon-promo,844920,Charizard & Braixen GX #SM230,https://www.pricecharting.com/game/pokemon-promo/charizard-&-braixen-gx-sm230,80.0,110.0,652.22
pokemon-promo,12352501,First Partner Illustration Collection: Series 1,https://www.pricecharting.com/game/pokemon-promo/first-partner-illustration-collection-series-1,63.26,,640.5
pokemon-promo,5608889,Charmander #44,https://www.pricecharting.com/game/pokemon-promo/charmander-44,66.89,119.01,640.0
pokemon-promo,844855,Celebi & Venusaur GX #SM167,https://www.pricecharting.com/game/pokemon-promo/celebi-&-venusaur-gx-sm167,65.5,128.0,630.0
pokemon-promo,844568,Mewtwo EX #XY107,https://www.pricecharting.com/game/pokemon-promo/mewtwo-ex-xy107,10.7,57.36,629.5
pokemon-promo,844694,Charizard EX #XY29,https://www.pricecharting.com/game/pokemon-promo/charizard-ex-xy29,12.5,59.09,620.52
pokemon-promo,4246445,Charizard V #SWSH260,https://www.pricecharting.com/game/pokemon-promo/charizard-v-swsh260,52.0,69.04,618.18
pokemon-promo,4246446,Charizard VMax #SWSH261,https://www.pricecharting.com/game/pokemon-promo/charizard-vmax-swsh261,39.78,72.5,611.5
pokemon-promo,844768,Garchomp & Giratina GX #SM193,https://www.pricecharting.com/game/pokemon-promo/garchomp-&-giratina-gx-sm193,91.87,142.81,605.0
pokemon-promo,844638,Charizard EX #XY17,https://www.pricecharting.com/game/pokemon-promo/charizard-ex-xy17,13.61,205.71,592.0
pokemon-promo,844918,Venusaur & Snivy GX #SM229,https://www.pricecharting.com/game/pokemon-promo/venusaur-&-snivy-gx-sm229,90.25,134.5,589.1
pokemon-promo,2741858,Reshiram & Charizard GX #SM247,https://www.pricecharting.com/game/pokemon-promo/reshiram-&-charizard-gx-sm247,42.0,68.5,567.08
pokemon-promo,844843,Dragonite GX #SM156,https://www.pricecharting.com/game/pokemon-promo/dragonite-gx-sm156,75.29,92.6,565.47
pokemon-promo,844790,Ash's Pikachu #SM108,https://www.pricecharting.com/game/pokemon-promo/ash%27s-pikachu-sm108,40.62,67.43,560.0
pokemon-promo,844731,Rayquaza EX #XY66,https://www.pricecharting.com/game/pokemon-promo/rayquaza-ex-xy66,12.0,450.0,540.0
pokemon-promo,3770617,Pikachu #SWSH234,https://www.pricecharting.com/game/pokemon-promo/pikachu-swsh234,6.3,42.5,525.31
pokemon-promo,10277111,Pikachu V-Union [Set],https://www.pricecharting.com/game/pokemon-promo/pikachu-v-union-set,37.29,,525.0
pokemon-promo,7108820,Greninja Ex #132,https://www.pricecharting.com/game/pokemon-promo/greninja-ex-132,98.73,116.39,501.5
