Set,Species,Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Promo,Pikachu,Pikachu #XY89,$9.10 ,$77.00 ,$117.14 ,https://storage.googleapis.com/images.pricecharting.com/8f9b7f441b93478903f5d2b89fdf7633e6efee7bd08018ae41dfd77f790ac6f3/60.jpg
Promo,Pikachu,Pikachu #SM76,$9.00 ,$67.90 ,"$1,000.00 ",https://storage.googleapis.com/images.pricecharting.com/6e8928b3cf7c04ec085992da151f7814231f0615cedf24060917cddf197d55bc/60.jpg
Promo,Pikachu,Pikachu #SM183,$8.41 ,$40.60 ,$183.71 ,https://storage.googleapis.com/images.pricecharting.com/77ad094511a824b80ff01104ec474f5a31419dec83bd8e56bd9fea927a3b3441/60.jpg
Promo,Pikachu,Pikachu GX [Jumbo] #SM232,$8.07 ,,,https://storage.googleapis.com/images.pricecharting.com/34a98deb2f2d577d0c1e7fda87ecce1e3baddc31806e5e7244f2a3b502efc040/60.jpg
Promo,Pikachu,Pikachu #SWSH039,$6.53 ,$24.50 ,$199.99 ,https://storage.googleapis.com/images.pricecharting.com/sq7wjpbq4yjsewhc/60.jpg
Promo,Pikachu,Pikachu [Single Pack Blisters] #SWSH039,$6.16 ,$24.00 ,$243.78 ,https://storage.googleapis.com/images.pricecharting.com/dn4vnssksd3h44vy/60.jpg
Promo,Pikachu,Pikachu [World Championships] #225,$6.00 ,$23.78 ,$145.00 ,https://storage.googleapis.com/images.pricecharting.com/sa7svb6l63ybxvku/60.jpg
Promo,Pikachu,Pikachu [Cosmos Holo] #SWSH234,$5.99 ,$28.11 ,,https://storage.googleapis.com/images.pricecharting.com/dvjpggtp3q4grpzw/60.jpg
Promo,Pikachu,Pikachu VMax #SWSH286,$5.49 ,$20.75 ,$192.50 ,https://storage.googleapis.com/images.pricecharting.com/9c7257f9573648edf49f876d64f3d2666704d4dc37eda391ae73964668967638/60.jpg
Promo,Pikachu,Pikachu VMax [Jumbo] #SWSH286,$5.13 ,,$349.99 ,https://storage.googleapis.com/images.pricecharting.com/c6326d13d7260c436fbd2326fe312bd55ac3b5c4265802af1f4a0aa2757758a4/60.jpg
Promo,Pikachu,Pikachu #SWSH234,$4.02 ,$27.66 ,$235.57 ,https://storage.googleapis.com/images.pricecharting.com/3d87cd27cae89d73132824a9189b0f15855f3201b8f1e85798d6d976deac52de/60.jpg
Promo,Pikachu,Pikachu VMAX [Jumbo] #286,$3.68 ,$58.00 ,$293.00 ,https://storage.googleapis.com/images.pricecharting.com/corrtxstz74bhtd2g4tz/60.jpg
Promo,Charizard,Charizard [Staff] #SWSH066,$513.03 ,$438.07 ,"$1,515.73 ",https://storage.googleapis.com/images.pricecharting.com/bde61a970de5d0a0c79c3299dfc88e8749b3b30eb9e434c2477e35b5bdc67d02/60.jpg
Promo,Charizard,Charizard [Staff] #SM158,$346.12 ,$663.00 ,"$5,003.64 ",https://storage.googleapis.com/images.pricecharting.com/d0efca760e340e5cd4f55dea322d66de2902bc921d0365b5cb65361c7399ab5d/60.jpg
Promo,Charizard,Charizard EX #XY121,$108.01 ,$476.12 ,"$3,585.71 ",https://storage.googleapis.com/images.pricecharting.com/7c8b497b3b0458f65dd32d2a2d38f23ee5e4cf71ddcb05e31116225dc12bad2e/60.jpg
Promo,Charizard,Charizard #SM158,$85.00 ,$118.65 ,"$1,001.00 ",https://storage.googleapis.com/images.pricecharting.com/5c2ef5c16ae9fec8358e3aa250fae8d4e0733fcd937b9332dc62742de5430533/60.jpg
Promo,Charizard,Charizard #SWSH066,$67.90 ,$56.54 ,$189.99 ,https://storage.googleapis.com/images.pricecharting.com/f2bd27dfddd340fdbf88d5d73e43554a58126b7e0f572fe5fa3426019bfe7e75/60.jpg
Promo,Charizard,Charizard VStar #SWSH262,$67.78 ,$85.31 ,$945.21 ,https://storage.googleapis.com/images.pricecharting.com/f9763f876795ae797afdfe97628cee8db120e2109a4329568d74ce6e1d5d066a/60.jpg
Promo,Charizard,Charizard #351/S-P,$58.17 ,,$173.27 ,https://storage.googleapis.com/images.pricecharting.com/smj6v2yrlbyayho7/60.jpg
Promo,Charizard,Charizard [KFC] #181/SM-P,$48.10 ,$62.45 ,$234.54 ,https://storage.googleapis.com/images.pricecharting.com/v6nqpgszg445js4p/60.jpg
Promo,Charizard,Charizard VMax #SWSH261,$33.40 ,$57.52 ,$413.79 ,https://storage.googleapis.com/images.pricecharting.com/pgxwl3soi7bk53ws/60.jpg
Promo,Charizard,Charizard #SM226,$33.00 ,$125.21 ,"$1,259.87 ",https://storage.googleapis.com/images.pricecharting.com/c4f5b5efcfd9e182630bcf5fd12cda33968fe331121c71830b7886db655929d0/60.jpg
Promo,Charizard,Charizard GX #SM60,$31.00 ,$122.05 ,"$1,000.08 ",https://storage.googleapis.com/images.pricecharting.com/04c96cdf85cfdd740568a8456ca3baf8375fdf2b79a9b59cea81ee4a1edcf3ac/60.jpg
Promo,Charizard,Charizard EX [Jumbo] #XY121,$24.68 ,,,https://storage.googleapis.com/images.pricecharting.com/nd55jjfi3mkcf3eh/60.jpg
Promo,Charizard,Charizard EX #XY17,$21.69 ,$183.47 ,$710.00 ,https://storage.googleapis.com/images.pricecharting.com/a8f2b7c056ac082b375607c63134edc6790e894a7304605c3e4a04fe104873af/60.jpg
Promo,Charizard,Charizard ex #74,$20.27 ,$36.58 ,$143.35 ,https://storage.googleapis.com/images.pricecharting.com/2445587a1eafde49b4d88c61c96ea020ddbae072ab2fa1d3e0c87ca80c6aae6f/60.jpg
Promo,Charizard,Charizard GX [Jumbo] #SM60,$20.25 ,$166.31 ,,https://storage.googleapis.com/images.pricecharting.com/7f68600d47d9728866be72577645defa17360bd7a24610ded8ce6b740f5a3c53/60.jpg
Promo,Charizard,Charizard GX #SM195,$18.01 ,$60.00 ,$230.00 ,https://storage.googleapis.com/images.pricecharting.com/55450b703ca8f688db3edee6ce509a1fd7472468bb64e035ab7651723de26301/60.jpg
Promo,Charizard,Charizard ex #56,$14.38 ,$37.21 ,$116.00 ,https://storage.googleapis.com/images.pricecharting.com/ttux656zr6rmqci7/60.jpg
Promo,Charizard,Charizard GX [Jumbo] #SM195,$13.73 ,$50.00 ,$457.50 ,https://storage.googleapis.com/images.pricecharting.com/e6a44af317a85a777cbe8ffd92d095660302455fbf1fbec4f4b717f31e9d0b5c/60.jpg
Promo,Charizard,Charizard EX #XY29,$13.48 ,$49.17 ,$295.00 ,https://storage.googleapis.com/images.pricecharting.com/98a10d3252fe3f667d9da7e3d3d71d95d69538455a268c708d5b9c66ac252eba/60.jpg
Promo,Charizard,Charizard EX [Jumbo] #17 [Black Star Promo XY17] /2014,$11.99 ,,"$4,500.00 ",https://storage.googleapis.com/images.pricecharting.com/rhogssxmmup3psd5/60.jpg
Promo,Charizard,Charizard EX [Jumbo] #XY17,$11.03 ,$225.48 ,,https://storage.googleapis.com/images.pricecharting.com/496322e0e501a1bd511065526f2fdcdbaefc729b0333df8666c5d2dc6aa8b7cd/60.jpg
Promo,Charizard,Charizard GX #SM211,$9.99 ,$28.75 ,$87.50 ,https://storage.googleapis.com/images.pricecharting.com/nzhvwo7hkahkff4l/60.jpg
Promo,Charizard,Charizard GX [Jumbo] #SM211,$8.88 ,$60.71 ,$330.00 ,https://storage.googleapis.com/images.pricecharting.com/9c2f5033a38d4de7e4925f88b5f74d4839859828ea5c82bcc902637f6d08884e/60.jpg
Promo,Charizard,Charizard ex #161,$6.18 ,$25.00 ,$206.50 ,https://storage.googleapis.com/images.pricecharting.com/m2jvmru7tzqyellv/60.jpg
Promo,Charizard,Charizard Ex [Jumbo] #196,$5.27 ,$54.16 ,$203.75 ,https://storage.googleapis.com/images.pricecharting.com/jnblxdlzomxjggz4/60.jpg
Promo,Charizard,Charizard Ex #196,$4.75 ,$21.00 ,$96.00 ,https://storage.googleapis.com/images.pricecharting.com/gu7qsahx7w3xuyyg/60.jpg
Promo,Charizard,Charizard #2/PCG-P [Japanese Battle Spring] /2004,,,,https://storage.googleapis.com/images.pricecharting.com/ddb2f5a58e7e326e37959ffbbc9b27579761444b5b270969a12dff3b6b90a7aa/60.jpg
Promo,Special Delivery Pikachu,Special Delivery Pikachu #SWSH074,$478.75 ,$458.88 ,"$1,991.48 ",https://storage.googleapis.com/images.pricecharting.com/e8b03fb0a68d7eebdcb4973d05d386691957381c1599bb11e2de512f36d75e23/60.jpg
Promo,Lucario,Lucario [Staff] #SWSH186,$349.11 ,$386.00 ,,https://storage.googleapis.com/images.pricecharting.com/uu4q56cm2xummkjz/60.jpg
Promo,Lucario,Lucario #BW85,$221.61 ,$676.49 ,"$1,595.54 ",https://storage.googleapis.com/images.pricecharting.com/02a0df2f60a1df701f119b9b673b370d262d539db10f21d02c132d8bc7a2740b/60.jpg
Promo,Lucario,Lucario [Staff] #SM95,$74.99 ,$192.00 ,,https://storage.googleapis.com/images.pricecharting.com/d1821c839934fe36b889d5876994c81e0fd824bce07aff1bc2f9b983164d884a/60.jpg
Promo,Lucario,Mega Lucario EX #33,$19.99 ,,,https://storage.googleapis.com/images.pricecharting.com/p42ghgjznxapo3n6/60.jpg
Promo,Lucario,Lucario #SM95,$18.85 ,$53.92 ,$129.16 ,https://storage.googleapis.com/images.pricecharting.com/448eb19230691845a3eaf735001b3a551352dc1404fbffa8fdbc74628a1462f9/60.jpg
Promo,Lucario,Lucario Ex [Prize Pack Series 3] #17,$17.97 ,,,https://storage.googleapis.com/images.pricecharting.com/67eea5d2204f2c31b1a35214886fc06976a4629cb29c8b83f926bb823e08b4c0/60.jpg
Promo,Lucario,Lucario VSTAR #SWSH291,$11.69 ,$24.99 ,$85.00 ,https://storage.googleapis.com/images.pricecharting.com/bd39c907899cb6784dd0726fccc12dfe65699ea912e269e4471f4b16460efcd4/60.jpg
Promo,Lucario,Lucario GX #SM100,$8.39 ,$28.99 ,$250.00 ,https://storage.googleapis.com/images.pricecharting.com/f3ed352bdc6a72cd6522171ae22b7bb7d352849ad20a16af6d201b02abfebcd2/60.jpg
Promo,Lucario,Lucario GX [Jumbo] #SM100,$7.30 ,,,https://storage.googleapis.com/images.pricecharting.com/lcumw525225pzscx/60.jpg
Promo,Lucario,Lucario ex #17,$6.12 ,$19.00 ,$42.25 ,https://storage.googleapis.com/images.pricecharting.com/517a79015290a92c0c2b8cab2fbc20a8e4873c7d74be0675de371881c680c7de/60.jpg
Promo,Lucario,Lucario #XY140,$5.95 ,$51.15 ,$883.75 ,https://storage.googleapis.com/images.pricecharting.com/769c6a7648c17dd200d9ceddffa084c8e10cd705d4cc5540f0d5c929647c7313/60.jpg
Promo,Lucario,Lucario #SWSH186,$4.75 ,$18.91 ,$80.00 ,https://storage.googleapis.com/images.pricecharting.com/bd36374291358447e8f97179cb2008d2753cb7e961bbd95e3734ee283bcb09e3/60.jpg
Promo,Lucario,Lucario VStar #SWSH214,$3.52 ,$16.34 ,$64.99 ,https://storage.googleapis.com/images.pricecharting.com/4e5c9b2b5c47f641d355f69a161e197dab9251ed14113decc2cc1fe535ac6d61/60.jpg
Promo,Lucario,Mega Lucario EX [Jumbo] #12,$3.25 ,,,https://storage.googleapis.com/images.pricecharting.com/e7nz27obvgyrg4rj/60.jpg
Promo,Lucario,Lucario #SM54,$2.95 ,$28.36 ,$327.50 ,https://storage.googleapis.com/images.pricecharting.com/b1746c1c7d190723a7c7196d690b825724f7962e9987dabc6a1cb2501dc6f4c9/60.jpg
Promo,Lucario,Mega Lucario EX #12,$2.00 ,$13.50 ,$57.35 ,https://storage.googleapis.com/images.pricecharting.com/mtl67zcyy2btucf2/60.jpg
Promo,Lucario,Mega Lucario [Jumbo] #12,,,,https://storage.googleapis.com/images.pricecharting.com/phljbrjhmumkijgx/60.jpg
Promo,Lucario,Lucario VSTAR [Jumbo] #214,,$29.99 ,$64.99 ,https://storage.googleapis.com/images.pricecharting.com/corrpvupdc7poj64xf2d/60.jpg
Promo,Umbreon,Umbreon [Regional Championship Staff] #60,$339.55 ,"$1,426.38 ",,https://storage.googleapis.com/images.pricecharting.com/zin6laza2v6kcvnd/60.jpg
Promo,Umbreon,Umbreon [Regional Champion] #60,$137.21 ,$135.50 ,,https://storage.googleapis.com/images.pricecharting.com/7c4011f56de6a50e9c97117d0314328599120b23932fe5c7ae51f64c4cccd1d2/60.jpg
Promo,Umbreon,Umbreon #BW93,$115.00 ,$822.89 ,"$9,900.00 ",https://storage.googleapis.com/images.pricecharting.com/732490c5fb34377990d2b9fdc134ac9b2069869a281946b6fdcf1d011dcf0649/60.jpg
Promo,Umbreon,Umbreon #XY96,$66.51 ,$406.33 ,$735.48 ,https://storage.googleapis.com/images.pricecharting.com/8eac9b9aff97d232cb7b50248e206b0a201c46c22c1055e438195d773b1ea46d/60.jpg
Promo,Umbreon,Umbreon GX #SM36,$38.60 ,$185.00 ,$955.30 ,https://storage.googleapis.com/images.pricecharting.com/avpbantxakxusswh/60.jpg
Promo,Umbreon,Umbreon Ex #176,$38.55 ,$47.00 ,$217.86 ,https://storage.googleapis.com/images.pricecharting.com/4lmguluyj3iqrhcx/60.jpg
Promo,Umbreon,Umbreon GX [Jumbo] #SM36,$19.48 ,,,https://storage.googleapis.com/images.pricecharting.com/e193ae174f79dcc675dc6c24912e4323b6464fde031a55b7826445a2328d8216/60.jpg
Promo,Umbreon,Umbreon #SWSH129,$15.33 ,$48.71 ,$397.00 ,https://storage.googleapis.com/images.pricecharting.com/219cd7137356ee2808098e2f800168df40c6a32b1c9a4c2358d0a0ff6c940409/60.jpg
Promo,Gyarados,Gyarados #XY60,$305.91 ,$700.00 ,"$2,733.74 ",https://storage.googleapis.com/images.pricecharting.com/0dccaa954b82d9a8781f5a85e9e6caa0c8d507e6fb00aa5c520f489a21c5d1ca/60.jpg
Promo,Gyarados,Gyarados [Prerelease Staff] #XY60,$197.94 ,$399.00 ,,https://storage.googleapis.com/images.pricecharting.com/f5cb4107f03dd9112ff1b3cf928613dbf9ab7e5a517a245f15182998fb4daa98/60.jpg
Promo,Gyarados,Gyarados #XY109,$45.18 ,$347.37 ,"$3,849.99 ",https://storage.googleapis.com/images.pricecharting.com/612b6df93e92f1e03a34e01501cd65591eb8981ad1a448090bb749098e1ee0a8/60.jpg
Promo,Gyarados,Gyarados EX #XY106,$17.47 ,$65.60 ,$379.24 ,https://storage.googleapis.com/images.pricecharting.com/84b408a17d311f20185f2ba6ea0dd4700bd3cfe071969bc0bb39fbb10d1f7b19/60.jpg
Promo,Gyarados,Gyarados GX #SM212,$3.25 ,$19.94 ,$70.36 ,https://storage.googleapis.com/images.pricecharting.com/2xuur42mq6c3r4pf/60.jpg
Promo,Mew,Mew [1st Place League Promo] #53,$299.99 ,$399.97 ,$480.00 ,https://storage.googleapis.com/images.pricecharting.com/3e7443f92491a07baf12b6c978953680f6e2acbd16c65b3ca88d672436003959/60.jpg
Promo,Mew,Mew EX #XY126,$150.00 ,$751.14 ,"$1,958.27 ",https://storage.googleapis.com/images.pricecharting.com/71863a215d1e2ad3b9e20a53948d64f2c4e86c6f78b1a1329b917b74cbe86544/60.jpg
Promo,Mew,Mew #47,$119.99 ,$143.00 ,$600.00 ,https://storage.googleapis.com/images.pricecharting.com/960f17a76100989ea86b63bfa8dd3a420a1c71632383c843e4903056afa464c4/60.jpg
Promo,Mew,Mew #BW98,$104.69 ,$607.12 ,"$1,399.67 ",https://storage.googleapis.com/images.pricecharting.com/7af3edfdbaa1d621f5344ee0e5688baf706cb00ad69dbd0cf7d1ccabb7ea8bce/60.jpg
Promo,Mew,Mew #XY110,$93.44 ,$343.08 ,"$3,026.18 ",https://storage.googleapis.com/images.pricecharting.com/8762ae57372eeaa1ed489a759cb00331779cb3999d789ffc39be865cf84830b1/60.jpg
