Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Dark Typhlosion [1st Edition] #10,$228.50,$500.61,"$1,863.46",https://storage.googleapis.com/images.pricecharting.com/ee280f88df9d60bc1bb8805648bc8f078855998b8ef1e208c17c696cc7ee9f04/60.jpg
Shining Noctowl [1st Edition] #110,$338.80,"$1,216.71","$4,530.89",https://storage.googleapis.com/images.pricecharting.com/20dc86cf018335de512775d6a8c00ac3bac7368082871afbb538907eee55d7d7/60.jpg
Light Jolteon [1st Edition] #48,$154.46,$200.00,$690.00,https://storage.googleapis.com/images.pricecharting.com/5089f9a21ebb62a6dacd0c2744ee6615e2426635278c7d365c950792225dd360/60.jpg
Booster Box,"$13,975.00",,,https://storage.googleapis.com/images.pricecharting.com/f7cd75d25fb2e8d22f62947a1ed751238b26952cdbc42fe85bd5f4ab4cd5d61d/60.jpg
Light Wigglytuff #54,$7.94,$32.46,$66.64,https://storage.googleapis.com/images.pricecharting.com/3d8329155bf0a006a19f159aa27bbd79ec7f271bad989cc8e9364ae4f325f7f3/60.jpg
Light Machamp #25,$8.25,$34.58,$91.76,https://storage.googleapis.com/images.pricecharting.com/a604aa6db02f9de0d3893432f8479d0294b45c1d6a75e1beed838360807a5772/60.jpg
Dark Scizor [1st Edition] #9,$200.00,$650.57,"$1,772.49",https://storage.googleapis.com/images.pricecharting.com/39dc1d302b230167a2a2e81c1068d11d0f21134c110742c15cf48085b30aa985/60.jpg
Dark Houndoom [1st Edition] #7,$252.55,$522.49,"$2,581.25",https://storage.googleapis.com/images.pricecharting.com/e0c762061306abbef95b1bfc296321fc4a710b725e8fedb39a45a3a7b374dd45/60.jpg
Light Machoke #49,$4.03,$34.34,$68.20,https://storage.googleapis.com/images.pricecharting.com/58f3cc506f433058952af01a97bb3231dc8cf93264321a503df514ba7b2e3e7a/60.jpg
Dark Donphan #3,$38.00,$85.00,$259.25,https://storage.googleapis.com/images.pricecharting.com/265ca1f0f33dffda1e45a2ac36229d081565d1ae91454890980b607daee2847c/60.jpg
Dark Feraligatr [1st Edition] #5,$165.00,$547.17,"$1,845.86",https://storage.googleapis.com/images.pricecharting.com/25d5f5ba87c3a94b84c20e4ec2f1a6e7fd1348626c70985bb3f2a05ac0f10024/60.jpg
Light Vaporeon [1st Edition] #52,$49.04,$99.76,$533.09,https://storage.googleapis.com/images.pricecharting.com/ca548fc45293fb522ec6b67fcbadae066adf6cc7deededd5ea7ddc49cdc062fb/60.jpg
Booster Pack [1st Edition],"$1,764.54","$1,677.99","$2,375.00",https://storage.googleapis.com/images.pricecharting.com/478ea477473f8508bf78ff7c76b698c8165f21ab94c76d709982295286636256/60.jpg
Psyduck [1st Edition] #79,$34.00,$52.90,$387.32,https://storage.googleapis.com/images.pricecharting.com/019e8cdb1cb9f5d67d2da0fe8e31f9eb06bdc72de2b81b9b78fd3ea6defbc53e/60.jpg
Dark Wigglytuff #40,$6.85,$36.00,$46.79,https://storage.googleapis.com/images.pricecharting.com/4f01c9061ba14694cf610fa777707259c975947f0900586893a0f01c0aa9d821/60.jpg
Togepi #56,$18.64,$29.99,$265.00,https://storage.googleapis.com/images.pricecharting.com/529cc6288214acf8f7f2b2fe7ddbc34c5bff188bfb27192a3635a87b948b4623/60.jpg
Light Togetic [1st Edition] #15,$178.38,$530.66,"$4,000.00",https://storage.googleapis.com/images.pricecharting.com/24527e60c2c65d822cb26eb6cdc1a5f87b3d9c89ba9a8d7ba276b2cfcead3dcd/60.jpg
Growlithe #68,$2.70,$22.91,$60.00,https://storage.googleapis.com/images.pricecharting.com/878d8a8fb619e6baf5f4a608d21860be21498c31068686bf816953ef738b3f4e/60.jpg
Cyndaquil #61,$2.19,$35.00,$52.88,https://storage.googleapis.com/images.pricecharting.com/49df8cc46cc83bd3a19e2dd2e844f07f23040ebdecd752d2e050a9383c21dbe9/60.jpg
Light Golduck #47,$3.12,$20.65,$171.23,https://storage.googleapis.com/images.pricecharting.com/70080538a0680b236819006d0791ed68b5d5ffd3a3d45f2d791248ed52afc473/60.jpg
Totodile #85,$2.57,$23.54,$64.26,https://storage.googleapis.com/images.pricecharting.com/8891a98e5419882113995a7bde96a9ca25ac0cedb58adf15173e7897215f2f8a/60.jpg
Dratini #63,$5.85,$25.00,$37.30,https://storage.googleapis.com/images.pricecharting.com/112f5bfac0fe70b466004695165236ea1b00bd27f53930b16f7b725c68ff680a/60.jpg
