Species,Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Dark Raichu,Dark Raichu [Box Topper] #S3,$150.88,$650.00,"$3,287.50",https://storage.googleapis.com/images.pricecharting.com/970f1372fb9f436ffd60ce7fe2552fb0169c3d5bc648e47176f6f9dc666fa8f4/60.jpg
Dark Raichu,Dark Raichu [Holo] #7,$27.00,$124.00,"$2,147.00",https://storage.googleapis.com/images.pricecharting.com/u66dalvyx643emoz/60.jpg
Dark Raichu,Dark Raichu #7,$14.13,$98.53,$153.75,https://storage.googleapis.com/images.pricecharting.com/2nr3axulcuqz2qws/60.jpg
Dark Raichu,Dark Raichu [Jumbo] #3,,,,https://www.pricecharting.com/images/no-image-available.png
Jolteon,Jolteon [Reverse Holo] #14,$200.00,$599.00,"$5,000.00",https://storage.googleapis.com/images.pricecharting.com/55df97214003f68309666040460b73069c3f277f741d2f7635f112bde2beee34/60.jpg
Jolteon,Jolteon #14,$33.17,$187.59,$500.23,https://storage.googleapis.com/images.pricecharting.com/0e91ffa7876b8ba0c2591455515376ac162ddc28e12046d064bcb4c90bbebe5a/60.jpg
Arcanine,Arcanine [Reverse Holo] #36,$193.43,$766.63,"$4,600.24",https://storage.googleapis.com/images.pricecharting.com/9be164b3182eb1c9250528f2797fc2235289b30a61ee1158840f0634bc1dd7b9/60.jpg
Arcanine,Arcanine #36,$4.09,$29.99,$218.01,https://storage.googleapis.com/images.pricecharting.com/807e1cb2d6c79a368d80bae3ebb2921ff321f323822f9c1935573aebe946d4ad/60.jpg
Zapdos,Zapdos [Reverse Holo] #19,$192.75,$910.50,"$1,875.00",https://storage.googleapis.com/images.pricecharting.com/75868cbccba9ea1eda8be32adb6a580f5a1219311b3c856b701c492687d01e78/60.jpg
Zapdos,Zapdos #19,$24.99,$122.82,$973.00,https://storage.googleapis.com/images.pricecharting.com/062b5201b22b98dbc4921b62353d04caac7627157154ffde253561be7e11fdc3/60.jpg
Dark Wartortle,Dark Wartortle [Reverse Holo] #39,$188.13,$493.20,"$1,023.64",https://storage.googleapis.com/images.pricecharting.com/4becc1cde609868e513a3a2df284c92e15408e02d84e05b8e5c3dbba959a613b/60.jpg
