Species,Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Pikachu,Pikachu #35,$84.00 ,$120.98 ,,https://storage.googleapis.com/images.pricecharting.com/5ujmk4junlnen77j/60.jpg
Pikachu,Pikachu #XY95,$75.65 ,$542.72 ,"$1,959.57 ",https://storage.googleapis.com/images.pricecharting.com/42006237b2999c1c157044989e16355561632ca023b594856c5a034277ff2bdb/60.jpg
Pikachu,Pikachu #26,$70.00 ,$129.48 ,"$1,037.53 ",https://storage.googleapis.com/images.pricecharting.com/90434b61ebd361717d8f5b63261548c5ffe3102988a3a5a7fa0138e9e697728a/60.jpg
Pikachu,Pikachu [KFC] #16/S-P,$69.90 ,$109.03 ,$487.97 ,https://storage.googleapis.com/images.pricecharting.com/7xlg6eq5xwvkxiik/60.jpg
Pikachu,Pikachu EX [Jumbo] #XY124,$68.79 ,,"$3,652.00 ",https://storage.googleapis.com/images.pricecharting.com/hvkmew7bgoxolgnd/60.jpg
Pikachu,Pikachu [Holo] #12,$68.18 ,$448.12 ,"$1,463.14 ",https://storage.googleapis.com/images.pricecharting.com/b6e53647329b8d455abde83b017816a931f0c21aa2358e3476e26618a8507ab4/60.jpg
Pikachu,Pikachu #SWSH020,$67.87 ,$84.99 ,$455.55 ,https://storage.googleapis.com/images.pricecharting.com/i3akmgiwkto3llj5/60.jpg
Pikachu,Pikachu [LPP Collecting Stamp] #1,$59.99 ,,,https://storage.googleapis.com/images.pricecharting.com/d87d59e6dc6121421201337fb8ed389f02a5df9d416625acccfda3dc4c521fc2/60.jpg
Pikachu,Pikachu EX #XY84,$49.01 ,$99.99 ,$281.42 ,https://storage.googleapis.com/images.pricecharting.com/d9ee52ac64c0008a300928133726817bdd3bc7784da499769065ec66568ebf75/60.jpg
Pikachu,Pikachu [Snowflake Stamp] #SWSH153,$41.00 ,$43.83 ,,https://storage.googleapis.com/images.pricecharting.com/818b02c41f6940021d2590fa074414a2ce534c13d409004573a44ba0e60e8ab7/60.jpg
Pikachu,Pikachu #XY202,$37.31 ,$146.90 ,$800.01 ,https://storage.googleapis.com/images.pricecharting.com/0602920febb9830c61806b82c1827b32f1f8ec06a28088395db2e9f6a0f1e850/60.jpg
Pikachu,Pikachu [Pizza Hut] #172/SV-P,$36.91 ,,$216.89 ,https://storage.googleapis.com/images.pricecharting.com/5uwhss5mp326awbj/60.jpg
Pikachu,Pikachu #101,$31.61 ,$36.77 ,$242.59 ,https://storage.googleapis.com/images.pricecharting.com/f70aa10124610cc539689c522d3a78fe39795bbb703fb3eaf03bbf9b814733ee/60.jpg
Pikachu,Pikachu EX [Jumbo] #XY174,$31.00 ,,,https://storage.googleapis.com/images.pricecharting.com/ba5528aa78219c20910d4795ecfb13fcf997d64c2cbf4d33cc400c73797868b0/60.jpg
Pikachu,Pikachu #BW54,$29.79 ,$134.85 ,$244.94 ,https://storage.googleapis.com/images.pricecharting.com/f495a31c311756533edc4af08be0e5a043b581112e886fc8cc4cd3f06b55b2b2/60.jpg
Pikachu,Pikachu [World Collection] #1,$27.49 ,$39.99 ,,https://storage.googleapis.com/images.pricecharting.com/2n5ykhfapiswpxiy/60.jpg
