Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Weezing #110,$1.84,,,https://storage.googleapis.com/images.pricecharting.com/dxnkxy3ot4ui27ww/60.jpg
Ivysaur #2,$15.62,,,https://storage.googleapis.com/images.pricecharting.com/mvkgffkhzdddlv7h/60.jpg
Growlithe #58,$20.33,$8.99,,https://storage.googleapis.com/images.pricecharting.com/jks4swb5upvjicao/60.jpg
Kadabra #64,$1.00,,,https://storage.googleapis.com/images.pricecharting.com/aybkg47rb5grwaey/60.jpg
Voltorb #164,$3.99,$15.83,$47.46,https://storage.googleapis.com/images.pricecharting.com/dajfg7grm4jsxgfg/60.jpg
Wigglytuff EX #179,$2.75,$13.65,$40.95,https://storage.googleapis.com/images.pricecharting.com/unav4upgaezaplg6/60.jpg
Jynx EX #183,$2.52,$13.15,$39.46,https://storage.googleapis.com/images.pricecharting.com/lphogn3vjxuyu5qw/60.jpg
Meowth #52,$3.11,,,https://storage.googleapis.com/images.pricecharting.com/bw3kht7v7vlg2rkf/60.jpg
Meowth [Master Ball] #52,,,,https://storage.googleapis.com/images.pricecharting.com/qneow5zgpqs2ryi2/60.jpg
Abra #160,$3.99,$15.81,$47.49,https://storage.googleapis.com/images.pricecharting.com/3ngotjezlrodnvgy/60.jpg
Starmie #121,$1.97,$12.87,$38.63,https://storage.googleapis.com/images.pricecharting.com/c7dccvhivawglfp6/60.jpg
Jynx EX #124,$1.99,,,https://storage.googleapis.com/images.pricecharting.com/cwcqp2i6cxsf55qu/60.jpg
Eevee #133,$4.71,,,https://storage.googleapis.com/images.pricecharting.com/l57oedaivikqfomf/60.jpg
Squirtle [Master Ball] #7,,,,https://storage.googleapis.com/images.pricecharting.com/fgxdbzi7q7ucrzqh/60.jpg
Electrode #165,$4.87,$4.25,$51.28,https://storage.googleapis.com/images.pricecharting.com/k3rlc5quysqjgv7k/60.jpg
Pidgeot #18,,,,https://storage.googleapis.com/images.pricecharting.com/rx3el5ocuoi6fk2g/60.jpg
Arbok EX #24,$2.32,$13.39,$40.16,https://storage.googleapis.com/images.pricecharting.com/mocjdducs7oeth6p/60.jpg
Starmie #167,$5.32,$17.52,$52.55,https://storage.googleapis.com/images.pricecharting.com/izc5f5wjse56u4so/60.jpg
Spearow #21,$3.83,,,https://storage.googleapis.com/images.pricecharting.com/w2zets6fp5d33gk5/60.jpg
Gastly #92,$2.10,,$26.00,https://storage.googleapis.com/images.pricecharting.com/bulirrwtvt66vfrz/60.jpg
Snorlax #143,$3.88,$22.00,$32.00,https://storage.googleapis.com/images.pricecharting.com/3ld43enctm37tvuw/60.jpg
Slowpoke #79,$7.05,$15.00,$60.92,https://storage.googleapis.com/images.pricecharting.com/at4y2lztwhlatfsp/60.jpg
Flareon [Master Ball] #136,,,,https://storage.googleapis.com/images.pricecharting.com/7ah6fqnoss34yi2j/60.jpg
Charmander [Master Ball] #4,,,,https://storage.googleapis.com/images.pricecharting.com/ojtrkkhpskb7kvlq/60.jpg
Mr. Mime #122,$2.76,$13.70,$41.14,https://storage.googleapis.com/images.pricecharting.com/2df2ewzbh7n35i2j/60.jpg
Golem EX #76,$2.39,$13.49,$40.46,https://storage.googleapis.com/images.pricecharting.com/6mnf7ye7cba32x33/60.jpg
Porygon #137,$0.99,,,https://storage.googleapis.com/images.pricecharting.com/e3b2y6zggnmtnrvz/60.jpg
Aerodactyl [Master Ball] #142,,,,https://storage.googleapis.com/images.pricecharting.com/dloil3iulwao56gj/60.jpg
Growlithe [Master Ball] #58,,,,https://storage.googleapis.com/images.pricecharting.com/dwrmeym4rykblz6r/60.jpg
Raichu [Master Ball] #26,,,,https://storage.googleapis.com/images.pricecharting.com/ns4arafwsqcso4mo/60.jpg
Haunter #93,$2.25,$12.87,$38.64,https://storage.googleapis.com/images.pricecharting.com/urxtqcoblzfw3c72/60.jpg
Omastar #139,,,,https://storage.googleapis.com/images.pricecharting.com/byyua3jp5ydbrujz/60.jpg
Vileplume #159,$6.35,$15.39,$46.15,https://storage.googleapis.com/images.pricecharting.com/cfcjftstz2hr7qnm/60.jpg
