Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Jigglypuff #68,$19.99,$26.77,$225.00,https://storage.googleapis.com/images.pricecharting.com/03f80c80c547548ede4e713cf0b4fa1ad28648ed1ca588aaff6c3a1996d3602d/60.jpg
Skarmory #97,$10.00,$18.00,$39.36,https://storage.googleapis.com/images.pricecharting.com/bf5433824105f73afedce9a43cae1b75c7cc2649f3f44d44b0925f49a9e109f6/60.jpg
Poliwrath #26,$43.00,$35.00,$179.99,https://storage.googleapis.com/images.pricecharting.com/bde870bee883d885ad01d1561beed802cd47c53a1495bd94f9272e2d58022ca2/60.jpg
Raichu [Reverse Holo] #27,$75.00,$150.00,$503.07,https://storage.googleapis.com/images.pricecharting.com/0053bf87558fc03e4e09f2c71b1054feaed5f4fbccb0ec40ed6f63fc36a12be4/60.jpg
Growlithe #62,$11.75,$21.46,$79.00,https://storage.googleapis.com/images.pricecharting.com/be9678b4a4ac1e088f5f011eb957e5d9d0a5257decacb836115a7897ead27cfb/60.jpg
Oracle #138,$19.34,$48.25,$76.25,https://storage.googleapis.com/images.pricecharting.com/210ae6bffa87142487114dcfac4f3299d96baa2af16f27092c3d42c4a69dc5c7/60.jpg
Raikou [Reverse Holo] #28,$73.79,$136.04,$396.18,https://storage.googleapis.com/images.pricecharting.com/acyw3efvwrwe5fdg/60.jpg
Shuckle #96,$19.95,$39.95,$79.56,https://storage.googleapis.com/images.pricecharting.com/7587738237a8864545dadd094f53001c1a3a8257193b7312289e480682b50cb2/60.jpg
Kabuto #37,$12.76,$37.94,$139.00,https://storage.googleapis.com/images.pricecharting.com/77370ba8e3abe1a0d87798bbfda6d068701762aa034aeaade06abb9252da559f/60.jpg
Abra #46,$18.35,$52.00,$149.99,https://storage.googleapis.com/images.pricecharting.com/b7fe3875c7d362b70bae2a5d0909a3ca212cc5e6561e224eb3418e2ee13cf044/60.jpg
Sandshrew #92,$23.11,$49.99,$67.16,https://storage.googleapis.com/images.pricecharting.com/e368583cbde1714e22fa5b547eb392cf1fa80eff747c330d1c067ae3a2c833e3/60.jpg
Haunter [Reverse Holo] #63,$126.25,$217.38,$366.52,https://storage.googleapis.com/images.pricecharting.com/qk47bpzpc3ts7qcs/60.jpg
Blister Pack,"$3,569.03",,,https://storage.googleapis.com/images.pricecharting.com/e81de8078f1b13f997f6428c790c3aa30dc05a2dbad65c90463632c47d5f9654/60.jpg
Xatu #35,$6.98,$30.99,$73.83,https://storage.googleapis.com/images.pricecharting.com/0c07b1c6ef7749914420e8acf653909b0722f9c8d0b7f4e0fb379d92c8667717/60.jpg
Poliwhirl #88,$21.00,$51.00,$149.99,https://storage.googleapis.com/images.pricecharting.com/e23bbc3e1b6592d5ff3480bbcd8c1408829620c2d5d62c6254742bba8c861fcf/60.jpg
Abra [Reverse Holo] #46,$57.50,$146.57,$285.00,https://storage.googleapis.com/images.pricecharting.com/626cbd2bb959db24588d53c454e3e0d739b55462a4079c9462b7e9007e278c97/60.jpg
Cleffa #48,$14.00,$55.40,$131.96,https://storage.googleapis.com/images.pricecharting.com/4c2266964103454e4521b9a0375f8cd68106469829ef83422f483e4bb8b94898/60.jpg
Kabutops [Box Topper] #12,$163.50,$305.00,"$1,075.00",https://storage.googleapis.com/images.pricecharting.com/76deab032b357994d3bfff252bad4b3d1a6b589ef0b581a5fa03b8a92ca01a8f/60.jpg
Kabutops #14,$23.80,$46.00,$97.00,https://storage.googleapis.com/images.pricecharting.com/400905295a74b87364a0074836750d6ca18f973a38c3c6e9cdf55b70dfc84c93/60.jpg
Arcanine [Reverse Holo] #3,$116.99,$134.92,$275.00,https://storage.googleapis.com/images.pricecharting.com/99f44acbcdf7980d2627a6cbf407b9ae0fc5d12d3f03af5f9b26d147de8c8228/60.jpg
Dunsparce #53,$27.99,$14.70,$76.75,https://storage.googleapis.com/images.pricecharting.com/a44b492d871108df3b302f8ab431046ff30ade95d9de4a08b315c5ef698eb47d/60.jpg
Poliwag #87,$14.99,$28.00,$111.17,https://storage.googleapis.com/images.pricecharting.com/2ab1dbecc84495a7b0a9b38b5ed36da040c2af0b299e3d62e30e47a41af4fb0a/60.jpg
Crobat #6,$40.00,$64.30,$68.89,https://storage.googleapis.com/images.pricecharting.com/72d230f7d5283c243f7fe984cec17ef5a7446e42ab6d6859309aafa2b5ab99f9/60.jpg
Voltorb #113,$6.00,$38.00,$61.01,https://storage.googleapis.com/images.pricecharting.com/84d44b0d5a42b53ed24a5d39c017f0fe02cc641465419aa8b95cc1700e8e70fb/60.jpg
Delibird #49,$17.99,$28.00,$40.33,https://storage.googleapis.com/images.pricecharting.com/81430899f01e8fcff3464115b4e5978a3e5e70a2494d5e237cab6936426e5292/60.jpg
Jigglypuff [Reverse Holo] #68,$127.29,$91.00,$415.68,https://storage.googleapis.com/images.pricecharting.com/f649aead34af494d5dcdcb4ca037285945ecf047bc1a63c50edb449402010740/60.jpg
Swinub #107,$52.99,$44.99,$951.76,https://storage.googleapis.com/images.pricecharting.com/b72274208c3efc897be893961192b9683ac0a82548fd772cda70fcbc25f5aab1/60.jpg
Starmie [Reverse Holo] #30,$60.01,$86.93,$320.75,https://storage.googleapis.com/images.pricecharting.com/l2tppwjufre7skhy/60.jpg
Wigglytuff #34,$27.80,$40.00,$92.96,https://storage.googleapis.com/images.pricecharting.com/be067991c1351ec818dcb47a5baf7a7d4b37124d6c29a9dabb506e057b5c17b5/60.jpg
Diglett #50,$25.36,$18.22,$158.53,https://storage.googleapis.com/images.pricecharting.com/9f56772620bbdf4135fad5c9749c4613dec833f4a30e0078103040102661f7a8/60.jpg
Rattata #90,$4.12,$20.00,$75.97,https://storage.googleapis.com/images.pricecharting.com/b6d79929d591d7baae4aa82f1fb9d44f8aaf367cbb4e3933c1fdf14eab83c10e/60.jpg
Teddiursa #109,$9.98,$48.99,$104.95,https://storage.googleapis.com/images.pricecharting.com/15241ffb62f1c82f10fe6fb757b9e05191e9a5cb56f81e031082ab347844cdb7/60.jpg
Persian #42,$12.28,$32.00,$68.73,https://storage.googleapis.com/images.pricecharting.com/6e4dfe09fad58b71d278d92d0bbb85a38dd435f7a1bce1f150e5a516e2849104/60.jpg
Houndour #66,$11.75,$29.97,$58.67,https://storage.googleapis.com/images.pricecharting.com/693bde825472e61bfae093f8c61e193e88d1010905b0361209e0203b99aa4a34/60.jpg
Machamp [Reverse Holo] #16,$51.99,$126.58,$530.70,https://storage.googleapis.com/images.pricecharting.com/3297ed665a38da19230d2740c5f404e9002c7e4331d60e81baa4ac526cfb318b/60.jpg
Wobbuffet #45,$13.61,$36.34,$90.09,https://storage.googleapis.com/images.pricecharting.com/3d441ee4d76ce7bc4c4dd1f648efa1f4c3738019cd8d455f1ac263ae689a4abc/60.jpg
Starmie #30,$37.48,$61.07,$108.64,https://storage.googleapis.com/images.pricecharting.com/1b3567ee43dc79c16cdc083359683ebc1b6237058ac773cd544e97a9dad50de5/60.jpg
Dugtrio #52,$18.75,$35.00,$168.08,https://storage.googleapis.com/images.pricecharting.com/1943a98b60c4492d4a99ee11f7fc2396126c662f77cb34c18c51c45b9e4d8c12/60.jpg
Natu #80,$4.04,$35.00,$38.33,https://storage.googleapis.com/images.pricecharting.com/d557b427f4881d0e52310bbe1823b4aa38117e562b706ad9a7666c8ff2037da3/60.jpg
