Species,Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Heracross,Heracross #3,$19.13,$68.00,$279.40,https://storage.googleapis.com/images.pricecharting.com/e1af5cca076b839ddaa405d66ff4e26462959f3c0ba8e424c9e66ddccab8dfc7/60.jpg
Totodile,Totodile [Reverse Holo] #67,$30.50,$84.99,"$1,699.65",https://storage.googleapis.com/images.pricecharting.com/6cf336a66d13a8715c5af4fd79004c350963b56932f9ea61b9b0c274a8a70165/60.jpg
Totodile,Totodile #67,$1.99,$33.00,$73.07,https://storage.googleapis.com/images.pricecharting.com/8d5e2fe04df61d07b9cfb015473a2768cc9790d835cde5be904830da79c663ed/60.jpg
Nidoking,Nidoking [Reverse Holo] #6,$30.00,$189.63,"$2,050.00",https://storage.googleapis.com/images.pricecharting.com/e83ae78b829ea8f545f099fbe7d9340186e0ebbf2502a00de07ccf6edc8ef498/60.jpg
Nidoking,Nidoking #6,$25.00,$117.73,$213.79,https://storage.googleapis.com/images.pricecharting.com/312105c766fbc2e25b4d3bb537f4b8a4c681ef3613fc91ad6514b3d4759b0700/60.jpg
Nidoqueen,Nidoqueen [Reverse Holo] #7,$29.47,$81.16,$215.14,https://storage.googleapis.com/images.pricecharting.com/386dfafddbe27123d14b69500d126c2e55a24ce9c1e13eca83fe055d2e2cb280/60.jpg
Nidoqueen,Nidoqueen #7,$15.00,$69.06,$652.00,https://storage.googleapis.com/images.pricecharting.com/e3acd485afdfcfe1ccc0c55f9d4428600c43f391c18b8e3032f9c2762988f27a/60.jpg
Kirlia,Kirlia [Reverse Holo] #33,$28.85,$57.25,$145.01,https://storage.googleapis.com/images.pricecharting.com/ovnkcf6vdfbqsqfp/60.jpg
Kirlia,Kirlia [Reverse Holo] #32,$14.51,$48.48,$132.48,https://storage.googleapis.com/images.pricecharting.com/c290107fb39a1d3dfc4391fd8b9060fb10937c95593abd926c4598a5619b8419/60.jpg
Kirlia,Kirlia #33,$1.80,$30.00,$58.00,https://storage.googleapis.com/images.pricecharting.com/f5d6b99e2b4630f709f343d30a9555470204b7a558050bed3f74071cdd1e4da2/60.jpg
Kirlia,Kirlia #32,$1.73,$12.00,$53.10,https://storage.googleapis.com/images.pricecharting.com/7babfb4653800d09a82e746727993fd82ee87e196782c34c2354e6960b43d738/60.jpg
Dratini,Dratini [Reverse Holo] #46,$27.86,$55.00,$232.43,https://storage.googleapis.com/images.pricecharting.com/96b21fb6ba69b356b56021bedcacb2268a7cce7fb1fa52f9d12d32656964cc8b/60.jpg
Dratini,Dratini #46,$2.76,$47.96,$128.93,https://storage.googleapis.com/images.pricecharting.com/0adb6d197b7e3f0d5dc34f4b662768576a9c6c5c67fa206173a5e1d8f1513b03/60.jpg
Ralts,Ralts [Reverse Holo] #61,$24.99,$64.61,$589.48,https://storage.googleapis.com/images.pricecharting.com/5kjyfwle3rd5w7aj/60.jpg
Ralts,Ralts [Reverse Holo] #60,$14.30,$72.40,$297.00,https://storage.googleapis.com/images.pricecharting.com/7077ba54ba2d3f122e4de7d12f64fb56321718690ea7ea2fd6cd9cc4b75fd69d/60.jpg
Ralts,Ralts #61,$1.84,$38.21,$94.29,https://storage.googleapis.com/images.pricecharting.com/c250ad3c2eb603dbe66e8860e342cb5a9779a46cd1705b07bf5e47fceae25a5e/60.jpg
Ralts,Ralts #60,$1.44,$23.00,$54.99,https://storage.googleapis.com/images.pricecharting.com/7cc88c8d704d533138180b4f636383d4d6efcc1d4799131e2fdc7b75c47ccf31/60.jpg
Dewgong,Dewgong [Reverse Holo] #15,$24.04,$47.69,$89.51,https://storage.googleapis.com/images.pricecharting.com/03901aad6c194f3ab96775c6bdfbce87570212cc96062881d0315794fa6cc243/60.jpg
Dewgong,Dewgong [Stamped] #15,$12.00,,,https://storage.googleapis.com/images.pricecharting.com/m2cwerrzf53vlqqb/60.jpg
Dewgong,Dewgong #15,$3.00,$16.08,$65.50,https://storage.googleapis.com/images.pricecharting.com/14da3e1ab23049817082317a4bff9f31f8e72743659ccfa9be972c6da101cf76/60.jpg
Togetic,Togetic [Reverse Holo] #11,$23.39,$99.99,$660.60,https://storage.googleapis.com/images.pricecharting.com/2c0916c2d9b42b213cfa063b6c0d4c7355d94a08bcd04968b67ee6b4c4844587/60.jpg
